DEVOLUÇÃO DE ADIANTAMENTO DE FÉRIAS;Migração;true
ARQUIVAMENTO DE DOCUMENTOS;Migração;true
AUTO EMBARGO;Migração;true
AUTO INFRACAO;Migração;true
VISTO DE PROJETO DE OBRA;Migração;true
AUTORIZACAO DESPESA;Migração;true
AUXILIO FUNERAL;Migração;true
BAIXA INSCRIÇÃO;Migração;true
BENEFICIO DEFICIENTE FISICO;Migração;true
PROJETO DE REVITALIZAÇÃO;Migração;true
LIBERACAO VEICULO;Migração;true
JUNTA MEDICA;Migração;true
ENCADERNAÇÃO DE DOCUMENTOS;Migração;true
REGULARIZAÇÃO DE NGB;Migração;true
CANCELAMENTO DEBITO;Migração;true
RESCISÃO DE CONVÊNIO;Migração;true
PUBLICAÇÃO ;Migração;true
AUTORIZAÇÃO PARA INSTALAÇÃO DE ÁGUA;Migração;true
INCORPORAÇÃO DE DÉCIMOS;Migração;true
CANCELAMENTO USO TACOMETRO;Migração;true
CAPTACAO AGUA;Migração;true
CERTIDAO REGULARIDADE IMOVEL;Migração;true
CERTIDAO TEMPO SERVICO;Migração;true
CONCESSAO AREA;Migração;true
CONCESSAO BENEFICIO;Migração;true
CONCESSAO DIARIA;Migração;true
CONCESSAO FERIAS;Migração;true
CONCESSÃO DE USO;Migração;true
CONSERVACAO AREA;Migração;true
CONSERVACAO BEM PUBLICO;Migração;true
PROGRAMA HABITAR BRASIL BID;Migração;true
CONCURSO PÚBLICO NACIONAL DE ARQUITETURA;Migração;true
CONSTRUÇÃO CASA;Migração;true
COMISSÃO DE SINDICÂNCIA;Migração;true
CONSTRUCAO EDIFICACAO;Migração;true
CONSTRUCAO ESTACIONAMENTO;Migração;true
CONTRATACAO ESTAGIARIO;Migração;true
COOPERACAO TECNICA CIENTIFICA;Migração;true
DEFERIMENTO PROCESSO;Migração;true
CREDITO ADICIONAL;Migração;true
ABERTURA DE CREDITO ;Migração;true
ENCAMINHA PROPOSTA;Migração;true
RELATÓRIO DE AUDITORIA;Migração;true
CRIAÇÃO CARGO;Migração;true
CRIAÇÃO CARGO COMISSAO;Migração;true
CRIACAO CODIGO;Migração;true
CRIACAO CONSULTORIA;Migração;true
CRIACAO CRECHE;Migração;true
